Layer,Weight Sparsity,Input Sparsity,Output Sparsity,Weight Density,Input Density,Output Density,Layer Number
sa1.mlp_convs.0,0.21875,0.8487116694450378,0.47346242268880206,0.78125,0.15128833055496216,0.526537577311198,1
sa1.mlp_convs.1,0.482666015625,0.44611191749572754,0.8507665395736694,0.517333984375,0.5538880825042725,0.14923346042633057,2
sa1.mlp_convs.2,0.5152587890625,0.17385952174663544,0.7681355476379395,0.4847412109375,0.8261404782533646,0.23186445236206055,3
sa2.mlp_convs.0,0.6502862572669983,0.5731001496315002,0.3001636266708374,0.3497137427330017,0.42689985036849976,0.6998363733291626,4
sa2.mlp_convs.1,0.62921142578125,0.4121635854244232,0.5882786512374878,0.37078857421875,0.5878364145755768,0.4117213487625122,5
sa2.mlp_convs.2,0.618896484375,0.5349358320236206,0.8157159686088562,0.381103515625,0.4650641679763794,0.1842840313911438,6
sa3.mlp_convs.0,0.8000723719596863,0.6003207564353943,0.4423789978027344,0.19992762804031372,0.3996792435646057,0.5576210021972656,7
sa3.mlp_convs.1,0.8504104614257812,0.6603876948356628,0.7063446044921875,0.14958953857421875,0.33961230516433716,0.2936553955078125,8
sa3.mlp_convs.2,0.9526233673095703,0.6462802886962891,0.48550891876220703,0.04737663269042969,0.35371971130371094,0.514491081237793,9
fc1,0.9407405853271484,0.0721435546875,0.5214029947916666,0.05925941467285156,0.9278564453125,0.47859700520833337,10
fc2,0.8120956420898438,0.5321452021598816,0.4903971354166667,0.18790435791015625,0.4678547978401184,0.5096028645833333,11
fc3,0.3238281309604645,0.4899088740348816,0.8625,0.6761718690395355,0.5100911259651184,0.13749999999999996,12
